Name,Prices
MULNMullen Automotive,"[0.95, 0.81, 0.81]"
NKLANikola,"[0.81, 0.59, 0.59]"
QRTEAQurate Retail,"[0.93, 0.95, 0.95]"
FFIEFaraday Future Intelligent Electric,"[0.22, 0.22, 0.22]"
CSCredit Suisse Group,"[0.89, 0.87, 0.87]"
GOEVCanoo,"[0.65, 0.59, 0.59]"
WKHSWorkhorse Group,"[0.92, 0.86, 0.86]"
INOInovio Pharmaceuticals,"[0.67, 0.62, 0.62]"
AMRSAmyris,"[0.71, 0.69, 0.69]"
WEWeWork,"[0.21, 0.19, 0.19]"
RGTIRigetti Computing,[0.73]
BNGOBionano Genomics,"[0.68, 0.64, 0.64]"
OCGNOcugen,"[0.72, 0.46, 0.46]"
MMATMeta Materials,"[0.25, 0.25, 0.25]"
TUPTupperware Brands,"[0.85, 0.92, 0.92]"
ACBAurora Cannabis,"[0.67, 0.54, 0.54]"
TRKATroika Media Group,"[0.19, 0.15, 0.15]"
SKLZSkillz,"[0.54, 0.5, 0.5]"
SONDSonder,"[0.59, 0.56, 0.56]"
NKTRNektar Therapeutics,"[0.73, 0.63, 0.63]"
CELUCelularity,[0.68]
NVOSNovo Integrated Sciences,"[0.17, 0.14, 0.14]"
RIDELordstown Motors,[0.3]
BBBYBed Bath & Beyond,"[0.18, 0.28, 0.28]"
IDEXIdeanomics,"[0.04, 0.04, 0.04]"
HUBCHUB Cyber Security (Israel),"[0.61, 0.57, 0.57]"
APRNBlue Apron,"[0.57, 0.57, 0.57]"
CTVInnovid,[0.98]
VLCNVolcon,[0.73]
NUTXNutex Health,"[0.51, 0.49, 0.49]"
ATERAterian,"[0.6, 0.6, 0.6]"
YSGYatsen,"[0.95, 0.94, 0.94]"
NEXINexImmune,[0.47]
VRAYViewRay,"[0.63, 0.53, 0.53]"
TTCFTattooed Chef,"[0.66, 0.54, 0.54]"
ASTRAstra Space,"[0.4, 0.36, 0.36]"
MKFGMarkforged,"[0.96, 0.9, 0.9]"
OGIOrganigram,"[0.54, 0.44, 0.44]"
SURFSurface Oncology,[0.87]
EXPRExpress,"[0.81, 0.62, 0.62]"
HLBZHelbiz,"[0.51, 0.39, 0.39]"
DBDDiebold Nixdorf,"[0.32, 0.25, 0.25]"
BGXXBright Green,"[0.91, 0.82, 0.82]"
XXII22nd Century Group,"[0.67, 0.62, 0.62]"
